code,name,academic_units
CC0005,HEALTHY LIVING & WELLBEING,3
CC0006,"SUSTAINABILITY: SOCIETY, ECONOMY & ENVIRONMENT",3
CC0007,SCIENCE & TECHNOLOGY FOR HUMANITY,3
CC0015,HEALTH & WELLBEING,2
CE1107,DATA STRUCTURES & ALGORITHMS,3
CE2003,DIGITAL SYSTEMS DESIGN,3
CE2101,ALGORITHM DESIGN & ANALYSIS,3
CE3001,ADVANCED COMPUTER ARCHITECTURE,3
CE3002,"SENSORS, INTERFACING & DIGITAL CONTROL",3
CE3004,MULTIDISCIPLINARY DESIGN PROJECT,4
CE3005,COMPUTER NETWORK,3
CE3102,"SIGNALS, SYSTEMS & TRANSFORMS",3
CE3103,EMBEDDED PROGRAMMING,3
CE4001,VIRTUAL & AUGMENTED REALITY,3
CE4003,COMPUTER VISION,3
CE4010,APPLIED CRYPTOGRAPHY,3
CE4011,PARALLEL COMPUTING,3
CE4013,DISTRIBUTED SYSTEMS,3
CE4015,SIMULATION & MODELLING,3
CE4016,ADVANCED TOPICS IN ALGORITHMS,3
CE4022,WIRELESS & MOBILE NETWORKS,3
CE4023,ADVANCED COMPUTER NETWORKS,3
CE4031,DATABASE SYSTEM PRINCIPLES,3
CE4032,DATA ANALYTICS & MINING,3
CE4034,INFORMATION RETRIEVAL,3
CE4041,MACHINE LEARNING,3
CE4042,NEURAL NETWORK & DEEP LEARNING,3
CE4045,NATURAL LANGUAGE PROCESSING,3
CE4046,INTELLIGENT AGENTS,3
CE4052,CLOUD COMPUTING,3
CE4055,CYBER PHYSICAL SYSTEM SECURITY,3
CE4062,COMPUTER SECURITY,3
CE4064,SECURITY MANAGEMENT,3
CE4067,SOFTWARE SECURITY,3
CE4069,CONCEPTS & TECHNIQUES FOR MALWARE ANALYSIS,3
CE4070,CYBER THREAT INTELLIGENCE,3
CE4071,NETWORK SCIENCE,3
CE4123,BIG DATA MANAGEMENT,3
CE4153,BLOCKCHAIN TECHNOLOGY,3
CE4171,INTERNET OF THINGS: COMMUNICATIONS & NETWORKING,3
CE4172,INTERNET OF THINGS: TINY MACHINE LEARNING,3
CE5008,DECODE THE INDUSTRY: INSIGHTS & SKILLS FOR CAREER SUCCESS,1
CH1104,MATERIALS & ENERGY BALANCES,3
CH1801,CHEMICAL & BIOMOLECULAR ENGINEERING LABORATORY 1A,1
CH1802,CHEMICAL & BIOMOLECULAR ENGINEERING LABORATORY 2,1
